id_personne,age,gender,postal_code,job,bike_use_frequency,electric_bike,type_bike_road,type_bike_allroad,type_bike_city,type_bike_fold,type_bike_cargo,type_bike_recumbent
1,1,0,69006,6,4,FALSE,1,0,1,0,0,0
2,1,1,69120,6,3,FALSE,0,0,1,0,0,0
3,1,1,69430,6,3,FALSE,1,0,0,0,0,0
4,1,1,69120,6,4,FALSE,0,0,1,0,0,0
5,0,1,78740,6,3,FALSE,0,1,1,0,0,0
6,1,0,78110,2,4,FALSE,0,1,0,0,0,0
7,1,0,69120,6,1,FALSE,0,1,0,0,0,0
8,1,1,31000,6,1,TRUE,0,0,1,0,0,0
9,1,0,69006,6,2,FALSE,0,0,0,0,0,0
10,1,0,,6,4,TRUE,1,0,0,0,0,0
11,1,1,69120,6,2,TRUE,0,1,1,0,0,0
12,4,0,69100,2,4,FALSE,0,0,1,0,0,0
13,1,0,69100,6,1,FALSE,1,0,0,0,0,0
14,1,1,69100,6,4,FALSE,1,0,0,0,0,0
15,3,0,69600,2,4,TRUE,1,1,0,0,0,0
16,1,0,69120,6,3,FALSE,0,1,0,0,0,0
17,1,0,69100,6,1,FALSE,0,0,1,0,0,0
18,2,1,69100,2,4,TRUE,0,0,1,0,0,0
19,1,1,69007,6,4,FALSE,1,0,0,0,0,0
20,1,3,69120,6,3,FALSE,0,1,0,0,0,0
21,2,0,69003,2,4,FALSE,0,0,1,0,0,0
22,4,1,69005,2,4,FALSE,1,1,0,0,0,0
23,4,1,69003,2,2,FALSE,0,1,0,0,0,0
24,1,0,69100,6,4,TRUE,1,0,0,0,0,0
25,2,0,,2,4,TRUE,0,0,1,0,0,0
26,1,1,69100,6,4,TRUE,0,0,1,0,0,0
27,2,0,59800,6,4,FALSE,0,0,1,0,0,0
28,1,3,,6,4,FALSE,1,1,0,0,0,0
29,2,0,69003,6,4,FALSE,1,0,0,0,0,0
30,1,1,69100,6,4,FALSE,1,0,1,0,0,0
31,1,0,69008,6,4,FALSE,0,1,0,0,0,0
32,1,1,69120,6,4,FALSE,1,0,0,0,0,0
33,1,0,69120,6,3,FALSE,1,0,0,0,0,0
34,1,1,49130,6,1,FALSE,1,1,0,0,0,0
35,3,1,69005,2,0,FALSE,0,0,0,0,0,0
36,1,1,69100,6,4,FALSE,1,1,0,0,0,0
37,3,1,69004,2,4,FALSE,0,0,0,0,0,0
38,1,0,94160,6,2,FALSE,0,1,0,0,0,0
39,1,1,69220,6,3,FALSE,1,0,0,0,0,0
40,4,1,69330,2,4,TRUE,0,0,0,0,0,0
41,1,1,69100,6,4,FALSE,1,0,0,0,0,0
42,1,0,69120,6,0,FALSE,0,0,0,0,0,0
43,1,0,69330,6,3,FALSE,0,0,1,0,0,0
44,1,0,35000,6,3,TRUE,0,0,1,0,0,0
45,1,1,69005,6,4,FALSE,1,0,0,0,0,0
46,3,1,38370,2,4,FALSE,0,0,0,0,0,0
47,1,1,69120,6,4,FALSE,1,0,0,0,0,0
48,4,0,69004,2,4,TRUE,1,0,0,0,0,0
49,2,1,69100,2,4,FALSE,0,0,1,0,0,0
50,1,1,69120,6,4,FALSE,0,1,0,0,0,0
51,1,1,69006,6,2,TRUE,0,0,0,0,0,0
52,1,0,69100,6,1,FALSE,0,0,1,0,0,0
53,1,1,59000,6,4,FALSE,0,1,0,0,0,0
54,2,1,69100,2,4,FALSE,0,0,1,0,0,0
55,1,0,69003,6,4,FALSE,0,1,0,0,0,0
56,1,1,79260,6,4,FALSE,0,1,1,0,0,0
57,1,0,69008,6,4,TRUE,0,1,1,0,0,0
58,1,1,69100,6,4,FALSE,1,0,0,0,0,0
59,1,0,69100,6,4,FALSE,0,1,0,0,0,0
60,1,0,69120,6,3,FALSE,0,0,1,0,0,0
61,1,0,69120,6,2,FALSE,0,1,0,0,0,0
62,2,0,69003,2,4,FALSE,0,1,0,0,0,0
63,3,1,59130,2,4,FALSE,1,0,0,0,0,0
64,1,0,44400,6,3,FALSE,0,1,0,0,0,0
65,4,1,69100,2,3,FALSE,0,1,0,0,0,0
66,1,1,69003,6,4,FALSE,1,0,1,0,0,0
67,1,0,,6,2,FALSE,0,0,1,0,0,0
68,2,0,69100,2,4,FALSE,1,0,0,0,0,0
69,1,1,69130,6,2,FALSE,0,1,0,0,0,0
70,1,1,38000,6,3,FALSE,1,0,0,0,0,0
71,1,1,69120,6,4,FALSE,1,0,0,0,0,0
72,1,0,69120,6,4,FALSE,0,0,1,0,0,0
73,2,1,,2,4,FALSE,1,0,1,0,0,0
74,1,0,69100,6,4,TRUE,1,0,0,0,0,0
75,1,1,69260,6,4,FALSE,0,1,0,0,0,0
76,1,0,69120,6,4,FALSE,1,0,0,0,0,0
77,1,0,34070,6,0,FALSE,0,0,0,0,0,0
78,1,0,69120,6,4,FALSE,0,0,1,0,0,0
79,1,1,69120,6,3,FALSE,1,0,0,0,0,0
80,4,1,69003,2,3,FALSE,0,1,0,1,0,0
81,1,1,69006,6,4,FALSE,1,0,0,0,0,0
82,1,0,69120,6,3,FALSE,0,0,1,0,0,0
83,1,1,69230,2,3,FALSE,0,0,1,0,0,0
84,1,0,69120,6,0,FALSE,0,0,0,0,0,0
85,1,1,69120,6,1,FALSE,0,1,0,0,0,0
86,1,1,69120,6,1,TRUE,0,0,0,0,0,0
87,1,1,69100,6,4,FALSE,0,0,0,0,0,0
88,1,1,69120,6,1,TRUE,0,0,0,0,0,0
89,1,0,6370,6,1,FALSE,0,0,1,0,0,0
90,1,1,69007,6,3,TRUE,0,0,0,0,0,0
91,1,1,,6,4,FALSE,0,0,1,0,0,0
92,1,1,69120,6,2,TRUE,0,0,1,0,0,0
93,1,1,69100,6,3,TRUE,0,0,1,0,0,0
94,1,0,69120,6,2,TRUE,0,1,1,0,0,0
95,1,1,69100,6,3,FALSE,0,0,0,0,0,0
96,1,1,,6,0,FALSE,0,0,0,0,0,0
97,1,0,33000,6,2,TRUE,1,0,0,0,0,0
98,1,1,69120,6,3,FALSE,0,1,0,0,0,0
99,1,0,69150,6,0,FALSE,0,0,0,0,0,0
100,1,0,62120,6,2,FALSE,0,0,1,0,0,0
101,1,1,69100,6,4,FALSE,1,0,0,0,0,0
102,1,1,69006,6,2,TRUE,0,0,0,0,0,0
103,1,1,75019,6,2,FALSE,0,0,0,0,0,0
104,1,0,69330,6,2,FALSE,0,1,0,0,0,0
105,3,0,69003,4,1,FALSE,1,0,0,0,0,0
106,1,1,69100,6,3,TRUE,0,1,0,0,0,0
107,2,0,69006,6,4,FALSE,1,0,1,0,0,0
108,1,0,69120,6,2,FALSE,1,0,0,0,0,0
109,1,0,69100,6,3,FALSE,0,0,1,0,0,0
110,1,0,69008,6,4,FALSE,0,0,1,0,0,0
111,1,0,69001,2,0,FALSE,0,0,0,0,0,0
112,3,3,,2,4,FALSE,1,0,1,0,0,0
113,1,0,63000,6,1,TRUE,0,0,0,0,0,0
114,1,0,1140,6,0,FALSE,0,0,0,0,0,0
115,1,1,,6,2,TRUE,0,1,0,0,0,0
116,1,1,69100,6,4,FALSE,1,0,0,0,0,0
117,2,1,69003,2,3,FALSE,0,0,1,0,0,0
118,1,1,,6,4,FALSE,1,0,1,0,0,0
119,1,1,69120,6,3,TRUE,0,0,1,0,0,0
120,1,0,69120,6,2,FALSE,1,0,0,0,0,0
121,4,0,69300,2,4,TRUE,0,1,1,0,0,0
122,1,0,38410,6,1,FALSE,1,0,0,0,0,0
123,1,1,,6,3,FALSE,1,0,0,0,0,0
124,4,0,69330,4,1,FALSE,0,1,0,0,0,0
125,1,0,69120,6,2,FALSE,0,1,0,0,0,0
126,3,1,,2,3,FALSE,1,0,0,0,0,0
127,1,1,69006,6,3,TRUE,0,1,0,0,0,0
128,1,1,69100,6,4,FALSE,1,0,0,0,0,0
129,1,1,69120,6,2,FALSE,0,0,1,0,0,0
130,2,1,69120,2,0,FALSE,0,0,0,0,0,0
131,1,3,,6,1,FALSE,0,0,0,0,0,0
132,1,1,42290,6,4,FALSE,0,1,0,0,0,0
133,1,0,59000,6,1,FALSE,0,1,0,0,0,0
134,1,0,54000,6,1,TRUE,0,0,0,0,0,0
135,4,0,69100,2,4,FALSE,1,1,0,0,0,0
136,1,0,,6,3,TRUE,1,0,1,0,0,0
137,1,0,69100,6,1,FALSE,0,0,1,0,0,0
138,1,1,46170,6,3,FALSE,0,1,0,0,0,0
139,1,1,31000,6,3,TRUE,0,1,1,0,0,0
140,4,0,69330,2,3,FALSE,0,0,1,0,0,0
141,1,1,69120,6,2,TRUE,0,0,0,0,0,0
142,4,0,69518,2,3,TRUE,1,0,0,0,0,0
143,4,0,69330,2,1,FALSE,1,0,0,0,0,0
144,3,0,69100,6,4,FALSE,1,0,1,0,0,0
145,1,1,74150,6,4,FALSE,1,1,0,0,0,0
146,4,1,92100,2,2,FALSE,0,1,0,0,0,0
147,4,0,69300,2,4,TRUE,0,0,1,0,0,0
148,2,1,69007,2,4,FALSE,1,0,0,0,0,0
149,1,0,69100,6,1,FALSE,0,1,0,0,0,0
150,1,1,69100,6,4,TRUE,0,0,0,0,0,0
151,1,0,69120,6,1,FALSE,1,0,0,0,0,0
152,1,0,69120,6,0,FALSE,0,0,0,0,0,0
153,1,1,69120,6,3,FALSE,1,0,0,0,0,0
154,5,1,69100,2,4,FALSE,0,0,0,1,0,0
155,1,0,,6,2,TRUE,1,1,0,0,0,0
156,1,1,69100,6,3,FALSE,1,0,0,0,0,0
157,2,0,59370,4,2,FALSE,0,0,1,0,0,0
158,1,1,37510,6,2,FALSE,0,1,0,0,0,0
159,2,0,59510,2,2,FALSE,0,1,0,0,0,0
160,1,1,69120,6,0,FALSE,0,0,0,0,0,0
161,1,3,69002,6,0,FALSE,0,1,0,0,0,0
162,1,1,69100,6,4,TRUE,0,0,1,0,0,0
163,1,1,69100,6,3,TRUE,1,1,1,0,0,0
164,1,0,60380,6,1,FALSE,1,0,0,0,0,0
165,1,0,69100,6,1,TRUE,0,1,0,0,0,0
166,1,1,78110,6,0,FALSE,0,0,0,0,0,0
167,1,0,69100,6,4,TRUE,0,0,1,0,0,0
168,1,0,17560,6,2,FALSE,1,0,1,0,0,0
169,1,1,69120,6,4,TRUE,0,0,1,0,0,0
170,1,1,69100,6,3,TRUE,0,0,1,0,0,0
171,1,0,29000,4,4,TRUE,0,0,1,0,0,0
172,1,0,31000,6,2,TRUE,0,0,1,0,0,0
173,1,0,,6,4,FALSE,1,0,0,0,0,0
174,1,1,69120,6,2,FALSE,0,0,0,0,0,0
175,3,1,69006,2,2,FALSE,0,1,0,0,0,0
176,1,1,94160,6,4,FALSE,1,0,0,0,0,0
177,1,1,69003,6,2,TRUE,1,0,1,0,0,0
178,1,1,69003,6,3,TRUE,0,1,1,0,0,0
179,1,0,69120,6,2,TRUE,0,0,0,0,0,0
180,1,0,69100,6,4,FALSE,0,1,0,0,0,0
181,1,0,69120,6,1,FALSE,0,0,1,0,0,0
182,1,0,69006,6,4,FALSE,0,0,1,0,0,0
183,1,1,69100,6,4,FALSE,0,1,1,0,0,0
184,3,1,69100,2,4,FALSE,1,1,0,0,0,0
185,4,1,59560,2,3,FALSE,1,1,0,0,0,0
